strain	virus	date	country	division	location	host_type	length	lineage	authors	source
PX835887.1	Influenza A virus	2024-04-18	South Africa			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
PX835899.1	Influenza A virus	2024-04-30	South Africa			Homo sapiens	1701	6B.1A.5a.2a	Lauring,A.S., Papalambros,L., Fitzsimmons,W.J., Bendall,E., Hurt,A., Berisha,E., Wildum,S.	ncbi
MH828301.1	Influenza A virus	2016-05-18	South Korea			Sus scrofa	1776	1	Ouh,I.-o., Lee,J.-Y., Song,J., Park,S.	ncbi
CY210121.1	Influenza A virus (A/South Korea/5550/2016(H1N1))	2016-02-19	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210116.1	Influenza A virus (A/South Korea/5545/2016(H1N1))	2016-02-18	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210113.1	Influenza A virus (A/South Korea/5542/2016(H1N1))	2016-02-17	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210112.1	Influenza A virus (A/South Korea/5541/2016(H1N1))	2016-02-16	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210124.1	Influenza A virus (A/South Korea/5553/2016(H1N1))	2016-02-22	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
KY509809.1	Influenza A virus (A/Seoul/224/2016(H1N1))	2016-02-03	South Korea			Homo sapiens	1701	6B.1	Lee,J.Y., Kim,K.S., Chu,H., Kim,C.K., Kim,J.S., Kang,M.G., Kim,M.S., Kim,H.M., Kim,Y.J., Lee,N.J.	ncbi
CY210109.1	Influenza A virus (A/South Korea/5538/2016(H1N1))	2016-02-16	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY209791.1	Influenza A virus (A/South Korea/5306/2016(H1N1))	2016-02-29	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210125.1	Influenza A virus (A/South Korea/5554/2016(H1N1))	2016-02-22	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY208177.1	Influenza A virus (A/South Korea/4944/2016(H1N1))	2016-01-28	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210103.1	Influenza A virus (A/South Korea/5532/2016(H1N1))	2016-02-12	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210123.1	Influenza A virus (A/South Korea/5552/2016(H1N1))	2016-02-20	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210106.1	Influenza A virus (A/South Korea/5535/2016(H1N1))	2016-02-16	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
CY210110.1	Influenza A virus (A/South Korea/5539/2016(H1N1))	2016-02-16	South Korea			Homo sapiens	1701	6B.1	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Smith,J.P., Edwards,M.A., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK159035.1	Influenza A virus	2017-10-30	South Korea			Homo sapiens	1701	6B.1	Kim,J., Kang,C., Jeon,Y., Kim,M., Lee,N.	ncbi
MK159043.1	Influenza A virus	2017-11-21	South Korea			Homo sapiens	1701	6B.1A	Kim,J., Kang,C., Jeon,Y., Kim,M., Lee,N.	ncbi
MN826609.1	Influenza A virus	2018-10-15	South Korea			Homo sapiens	1701	6B.1A	Kim,J.S., Kim,J.G., Kim,M.S., Lee,N.J., Jeong,Y.S., Han,M.G.	ncbi
MN826617.1	Influenza A virus	2018-09-18	South Korea			Homo sapiens	1701	6B.1A	Kim,J.S., Kim,J.G., Kim,M.S., Lee,N.J., Jeong,Y.S., Han,M.G.	ncbi
MK868722.1	Influenza A virus	2018-12-14	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786303.1	Influenza A virus	2018-12-23	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK869515.1	Influenza A virus	2018-12-20	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839302.1	Influenza A virus	2018-12-25	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK576994.1	Influenza A virus	2018-12-20	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786367.1	Influenza A virus	2018-12-18	South Korea			Homo sapiens	1701	6B.1A.4	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK785470.1	Influenza A virus	2018-12-10	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK576248.1	Influenza A virus	2018-12-27	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK869507.1	Influenza A virus	2018-12-25	South Korea			Homo sapiens	1701	6B.1A.4	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK380037.1	Influenza A virus	2018-11-13	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN826649.1	Influenza A virus	2018-09-03	South Korea			Homo sapiens	1701	6B.1A	Kim,J.S., Kim,J.G., Kim,M.S., Lee,N.J., Jeong,Y.S., Han,M.G.	ncbi
MK786343.1	Influenza A virus	2018-12-27	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK785475.1	Influenza A virus	2018-12-17	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK785476.1	Influenza A virus	2019-01-02	South Korea			Homo sapiens	1701	6B.1A.4	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK576258.1	Influenza A virus	2019-01-07	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK785479.1	Influenza A virus	2019-01-11	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK576253.1	Influenza A virus	2019-01-01	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786327.1	Influenza A virus	2019-01-10	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK868729.1	Influenza A virus	2019-01-10	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK869547.1	Influenza A virus	2019-01-10	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786359.1	Influenza A virus	2019-01-02	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786383.1	Influenza A virus	2019-01-10	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK840179.1	Influenza A virus	2019-01-02	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
OP862763.1	Influenza A virus	2019-01-30	South Korea			Sus scrofa	1701	6B.1A.5a	Kwon,M., Kim,M.-J., Lim,S.-I., Kim,M.J., Lim,E.H., Lee,Y.-H., Hyun,B.-h.	ncbi
MN169944.1	Influenza A virus	2019-03-12	South Korea			Homo sapiens	1701	6B.1A.6	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK786311.1	Influenza A virus	2019-01-04	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MN081418.1	Influenza A virus	2019-04-16	South Korea			Homo sapiens	1701	6B.1A.2	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK840187.1	Influenza A virus	2019-01-14	South Korea			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MT026947.1	Influenza A virus	2020-01-06	South Korea			Sus scrofa	1701	6B.1A.5a.1	Moon,B., Park,J., Jeoung,H.-Y., Ko,M.-K., So,B., Lee,K.-K.	ncbi
PZ092621.1	Influenza A virus	2023-10-17	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092701.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092717.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092629.1	Influenza A virus	2023-10-17	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092733.1	Influenza A virus	2023-10-24	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092669.1	Influenza A virus	2023-10-23	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092693.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092645.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092637.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092741.1	Influenza A virus	2023-10-23	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092661.1	Influenza A virus	2023-10-24	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092685.1	Influenza A virus	2023-10-17	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092709.1	Influenza A virus	2023-10-16	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092725.1	Influenza A virus	2023-10-24	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PZ092653.1	Influenza A virus	2023-10-24	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	No,J.S., Noh,J.Y., Lee,C.Y., Kim,I.-H., Lee,N.-J., Rhee,J.E., Kim,E.-J.	ncbi
PV153955.1	Influenza A virus	2024-12-29	South Korea			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R., Hardy,J.	ncbi
PV053408.1	Influenza A virus	2024-11-29	South Korea			Sus scrofa	1777	1	Chae,C., Suh,J.	ncbi
PP765199.1	Influenza A virus	2024-03-19	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Shaw,K.B., Johnson,C.D., Hartless,T.R., Hardy,J.	ncbi
PX448707.1	Influenza A virus	2025-09-04	South Korea			Homo sapiens	1701	6B.1A.5a.2a	Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.	ncbi
PV959227.1	Influenza A virus	2025-05-20	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.	ncbi
PX995801.1	Influenza A virus	2026-01-22	South Korea			Homo sapiens	1701	6B.1A.5a.2a.1	Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.	ncbi
MN932193.1	Influenza A virus	2018-02-28	Spain			Sus scrofa	1692	6B	Sosa Portugal,S., Cortey,M., Tello,M., Casanovas,C., Mesonero-Escuredo,S., Barrabes,S., Pineda,P., Wacheck,S., Martin-Valls,G., Mateu,E.	ncbi
MN932195.1	Influenza A virus	2018-10-19	Spain			Sus scrofa	1692	6B.1A	Sosa Portugal,S., Cortey,M., Tello,M., Casanovas,C., Mesonero-Escuredo,S., Barrabes,S., Pineda,P., Wacheck,S., Martin-Valls,G., Mateu,E.	ncbi
MK381502.1	Influenza A virus	2018-01-04	Spain			Homo sapiens	1701	6B.1A.5b	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MK381503.1	Influenza A virus	2018-02-06	Spain			Homo sapiens	1701	6B.1A	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Poel,J.R.	ncbi
MW848689.1	Influenza A virus	2019-10-17	Spain			Sus scrofa	1777	6	Encinas,P., Real,G.D.	ncbi
MN932198.1	Influenza A virus	2019-02-04	Spain			Sus scrofa	1692	6	Sosa Portugal,S., Cortey,M., Tello,M., Casanovas,C., Mesonero-Escuredo,S., Barrabes,S., Pineda,P., Wacheck,S., Martin-Valls,G., Mateu,E.	ncbi
MN932201.1	Influenza A virus	2019-03-01	Spain			Sus scrofa	1692	6B.1A	Sosa Portugal,S., Cortey,M., Tello,M., Casanovas,C., Mesonero-Escuredo,S., Barrabes,S., Pineda,P., Wacheck,S., Martin-Valls,G., Mateu,E.	ncbi
MN932212.1	Influenza A virus	2019-03-01	Spain			Sus scrofa	1692	6B.1A	Sosa Portugal,S., Cortey,M., Tello,M., Casanovas,C., Mesonero-Escuredo,S., Barrabes,S., Pineda,P., Wacheck,S., Martin-Valls,G., Mateu,E.	ncbi
MK927238.1	Influenza A virus	2019-01-26	Spain			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK913190.1	Influenza A virus	2019-02-09	Spain			Homo sapiens	1701	6B.1A.7	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
MK839305.1	Influenza A virus	2019-01-14	Spain			Homo sapiens	1701	6B.1A.5a	Gruner,W.E., Fries,A.C., Garrett,C.M., Powell,M.L., Minnich,D.E., Couch,M.R., Hanson,J.F., DeMarcus,L.S., Crum,M.E., Bogue,A.L., Federinko,S.P., Macias,E.A., West,C.A., Dane,D.J.	ncbi
OQ363329.1	Influenza A virus	2020-08-14	Spain			Sus scrofa	1701	6B.1A.5a.1	Monteagudo,L.V., Benito,A., Mazas-Cabetas,L., Lazaro-Gaspar,S., Fillat,M.F., Quilez,J.	ncbi
PP331791.1	Influenza A virus	2020-06-19	Spain			Sus scrofa	1777	6B.1A.5a.1	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ107580.1	Influenza A virus	2021-12-29	Spain			Sus scrofa	1778	1	Encinas,P., Del Real Soldevilla,G.	ncbi
PP338521.1	Influenza A virus	2021-02-01	Spain			Sus scrofa	1777	6	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ107619.1	Influenza A virus	2022-05-17	Spain			Sus scrofa	1777	6	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ107640.1	Influenza A virus	2022-07-06	Spain			Sus scrofa	1777	1	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ107648.1	Influenza A virus	2022-07-29	Spain			Sus scrofa	1778	1	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ107661.1	Influenza A virus	2022-08-30	Spain			Sus scrofa	1779	1	Encinas,P., Del Real Soldevilla,G.	ncbi
PQ111072.1	Influenza A virus	2022-08-24	Spain			Sus scrofa	1778	1	Encinas,P., Del Real Soldevilla,G.	ncbi
KY075819.1	Influenza A virus (A/Palestine/21/2015(H1N1))	2015-02-28	State of Palestine			Homo sapiens	1701	6B	Bakri,M., Samuh,M., Azzeh,M.	ncbi
KY075820.1	Influenza A virus (A/Palestine/46/2015(H1N1))	2015-03-19	State of Palestine			Homo sapiens	1701	6B	Bakri,M., Samuh,M., Azzeh,M.	ncbi
KY075821.1	Influenza A virus (A/Palestine/167/2015(H1N1))	2015-04-22	State of Palestine			Homo sapiens	1701	6B	Bakri,M., Samuh,M., Azzeh,M.	ncbi
MH329164.1	Influenza A virus	2015-12-16	Taiwan			Homo sapiens	1701	6B.1	Tsao,K.-C., Gong,Y.-N., Huang,Y.-C., Hsieh,Y.-C., Lee,H.-Y., Chen,K.-F., Yang,S.-L., Liu,Y.-C.	ncbi
KY487478.1	Influenza A virus (A/Taipei/0008/2015(H1N1))	2015-12-22	Taiwan			Homo sapiens	1777	6B.2		ncbi
MH329160.1	Influenza A virus	2015-12-01	Taiwan			Homo sapiens	1701	6B.1	Tsao,K.-C., Gong,Y.-N., Huang,Y.-C., Hsieh,Y.-C., Lee,H.-Y., Chen,K.-F., Yang,S.-L., Liu,Y.-C.	ncbi
KY949643.1	Influenza A virus (A/Keelung/0013/2015(H1N1))	2015-12-16	Taiwan			Homo sapiens	1774	6B.1		ncbi
KY949991.1	Influenza A virus (A/Linkou/0034/2015(H1N1))	2015-12-21	Taiwan			Homo sapiens	1773	6B		ncbi
MH329163.1	Influenza A virus	2015-12-16	Taiwan			Homo sapiens	1701	6B.2	Tsao,K.-C., Gong,Y.-N., Huang,Y.-C., Hsieh,Y.-C., Lee,H.-Y., Chen,K.-F., Yang,S.-L., Liu,Y.-C.	ncbi
KY950124.1	Influenza A virus (A/Linkou/0004/2015(H1N1))	2015-11-06	Taiwan			Homo sapiens	1769	6B.1		ncbi
